first_name,last_name,NPI,school_name,graduation_year,degree
Staford,Fidal,9054307080,Finnmark University College,lmacneill4n@nyu.edu,M.D.
Salomo,Purple,4474315367,Universidad Galileo,fosichev4o@google.de,M.D.
Tatum,Iacoboni,6860245182,Nagaoka University of Technology,khammand4p@microsoft.com,M.D.
Harp,Valentinetti,8173170347,Middlesex University,tsaywood4q@mlb.com,M.D.
Johann,Hannabus,0805024921,"Moscow State Institute of Radiotechnics, Electronics and Automation (Technical University)",jtiron4r@vk.com,M.D.
Oberon,Piet,7832317000,Heilongjiang University,pmcpolin4s@de.vu,M.D.
Tommy,Gathercole,9587376919,Anderson University,cbaseke4t@redcross.org,M.D.
Isahella,Hurndall,3428933001,Morehouse School of Medicine,aizatt4u@economist.com,M.D.
Gerianna,Pley,6577885192,Freie Universität Berlin,madney4v@nymag.com,M.D.
Morgun,Westmacott,8471573857,Gifu Pharmaceutical University,gtidswell4w@sciencedirect.com,M.D.
Bunni,Meneghi,0917432037,University of East London,mschwandermann4x@weibo.com,M.D.
Ardath,Gallaway,6600334355,California University of Management and Sciences,vbrameld4y@twitpic.com,M.D.
Renate,Garthland,5338463008,Universiti Sultan Zainal Abidin,cdallman4z@chicagotribune.com,M.D.
Coleman,Cometson,2887899473,Universidad Fundepos Alma Mater,hmattes50@seesaa.net,M.D.
Mina,Gisbey,9296581907,National Dairy Research Institute,hlindman51@google.co.uk,M.D.
Gusty,Tippin,2061416837,University of Newcastle-upon-Tyne,ksherrett52@nsw.gov.au,M.D.
Hamlin,Waycott,9406076462,"Indian Institute of Technology, Hyderabad",dhendrickx53@tiny.cc,M.D.
Land,Yeaman,8249014723,China USA Business University,bandreacci54@domainmarket.com,M.D.
Faydra,Van Oort,7482370919,Shiraz Payamnoor University,eleverentz55@cmu.edu,M.D.
Colly,Caulcutt,4958201440,University of Bunkyo,rivankin56@google.co.uk,M.D.
Jobie,Frisby,7501549400,Universidad Nacional de La Matanza,acullinan57@amazon.de,M.D.
Bartlett,MacAree,4194367707,Beijing University of Chemical Technology,mjenman58@hhs.gov,M.D.
Abel,Jakoubek,0769762670,Tokyo Institute of Technology,ctryme59@ocn.ne.jp,M.D.
Myrwyn,Shinfield,1574979531,Beloit College,blimprecht5a@ovh.net,M.D.
Cyndy,Antoinet,5888373036,Université de Nice-Sophia Antipolis,skunert5b@java.com,M.D.
Roger,Habron,8513742716,Kuvempu University,rcowlishaw5c@ftc.gov,M.D.
Sarette,Sterling,5417438928,Brandeis University,elohan5d@ucla.edu,M.D.
Cassandry,Marusik,3251534963,Sikha 'O' Anushandhan University,bhanfrey5e@ihg.com,M.D.
Josey,Bursell,1837300968,Université d'Avignon,fcarling5f@de.vu,M.D.
Ingamar,Johnson,2947368231,Universidad del Pacifico,dskirven5g@google.it,M.D.
Kristen,Pretorius,3674094150,Astrahan State Technical University,blynch5h@pbs.org,M.D.
Amos,Noraway,1236256131,Tokyo Medical and Dental University,dgawn5i@state.tx.us,M.D.
Lloyd,Prendeville,1721474927,Oklahoma State University - Oklahoma City,tchancelier5j@devhub.com,M.D.
Karena,MacGorrie,3655585071,Hanshin University,dhavenhand5k@craigslist.org,M.D.
Desmund,Szymaniak,1789876931,Grove City College,mallix5l@dagondesign.com,M.D.
Gideon,Morhall,0153500174,University School of Physical Education,rcrutchley5m@free.fr,M.D.
Town,Tampin,4829588411,Seigakuin University,lceci5n@walmart.com,M.D.
Corey,Bydaway,6870320748,American University of Science and Technology,cextal5o@facebook.com,M.D.
Rossy,Cardis,8177673084,Ecole Supérieure d'Ingénieurs de Marseille,kbridgnell5p@toplist.cz,M.D.
Marcile,Bartens,0225551551,"University of Mining and Geology ""St. Ivan Rils""",kkidd5q@chronoengine.com,M.D.
Morley,Zimmer,3528589825,St. Petersburg College,eramsdell5r@godaddy.com,M.D.
Rici,Ayllett,8735980214,Montreat College,jcall5s@sakura.ne.jp,M.D.
Dorelia,LeEstut,6950255187,Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,rluney5t@bizjournals.com,M.D.
Melly,Tripean,8630060816,Universidade Nova de Lisboa,tdown5u@phoca.cz,M.D.
Calley,Whicher,7562613214,National Taiwan University of Science and Technology,rcastelow5v@census.gov,M.D.
Deidre,Ruhben,7220040350,University of Connecticut at Hartford,mmickelwright5w@wp.com,M.D.
Sigismondo,Ekell,7968486696,National Metallurgical Academy of Ukraine,ahalliburton5x@businesswire.com,M.D.
Wolf,Taverner,1384462139,Université de Picardie Jules-Verne,mpattington5y@msn.com,M.D.
Edee,Guido,3805953550,Université des Sciences Sociales (Toulouse I),hrobertazzi5z@paginegialle.it,M.D.
Morrie,Grubbe,0204303192,Chang Gung University,dbrigshaw60@wisc.edu,M.D.
Nico,Sheed,1308359969,University of Abertay Dundee,rbeekmann61@earthlink.net,M.D.
Shepherd,Le Grice,7578435884,University of Chittagong,thedon62@cornell.edu,M.D.
Salomone,Kluge,5845695325,College for Creative Studies,dcasaro63@cnn.com,M.D.
Garrick,Dwyr,2654745163,Universidade Lusófona de Humanidades e Technologias,bcronkshaw64@cocolog-nifty.com,M.D.
Hedy,Jeffcock,2815783886,The College of New Jersey,qmahy65@wordpress.com,M.D.
Manfred,Guiot,9040239207,University of Hyderabad,rgiraudoux66@so-net.ne.jp,M.D.
Lianne,McDougal,5813207724,Bauder College,mdudmesh67@studiopress.com,M.D.
Kaitlin,Drinkhall,9960715671,University of Central Punjab,bfrane68@livejournal.com,M.D.
Cassey,Drysdale,2496698909,Universitat Jaume I de Castellón,csheaber69@aboutads.info,M.D.
Cammi,Blampey,3603725174,Applied Science University,stidcomb6a@tamu.edu,M.D.
Ileane,Ivanenko,0111145600,Qom University of Medical Sciences,kmirams6b@fc2.com,M.D.
Maddy,Shearmur,5268831550,University of Leeds,cnewing6c@lycos.com,M.D.
Cornelius,Bennetts,6822264043,Sri Lanka Institute of Information Technology (SLIT),akramer6d@tripod.com,M.D.
Dimitry,Cossentine,4624566424,LICCSAL Business College,ppetrou6e@youtube.com,M.D.
Charla,Deniseau,8741084446,Osaka University of Arts,asanzio6f@merriam-webster.com,M.D.
Cal,Adicot,4607312894,School of the Museum of Fine Arts,jwalsh6g@senate.gov,M.D.
Adara,Brockton,5703531667,Pontificia Universidad Javeriana,jsurphliss6h@prlog.org,M.D.
Carlota,Edgerton,0984322248,Salem University,ecawt6i@princeton.edu,M.D.
Livy,Vasilischev,4489726945,Universidade Católica de Petrópolis,udenacamp6j@mlb.com,M.D.
Corine,Rumens,4933821461,Vytautas Magnus University,frowthorn6k@theguardian.com,M.D.
Lorry,Plain,6863700158,"Academy of International Economic and Political Relations, Gdynia",etebbutt6l@ow.ly,M.D.
Ricoriki,Ricardo,6359885034,Ohio University - Zanesville,aboot6m@sogou.com,M.D.
Eric,Whyler,7330842532,Bluefield State College,rdeener6n@networkadvertising.org,M.D.
Elie,Gruszecki,9476356030,Pädagogische Hochschule Erfurt/Mühlhausen,mtabb6o@washington.edu,M.D.
Amelita,Henrique,3698987708,Sankei University,grainey6p@yandex.ru,M.D.
Harry,Braundt,6696640363,Feati University,llodovichi6q@hexun.com,M.D.
Sly,Hurlston,0361884230,Aleksander Zelwerowicz State Theatre Academy,wseivwright6r@va.gov,M.D.
Terry,Stacy,4092128347,Mersin University,hdunbobbin6s@independent.co.uk,M.D.
Margarete,Kiera,6760333810,Baqai Medical University,mcisar6t@pcworld.com,M.D.
Juli,Swyer-Sexey,9817604209,San Jose State University,lbonevant6u@shinystat.com,M.D.
Liv,Gilmore,0268708940,Ain Shams University,cbrackenridge6v@utexas.edu,M.D.
Madalyn,Swithenby,1643210017,Universidad del Pacifico,gbeckinsale6w@imgur.com,M.D.
Reggie,Deering,2163964876,Universidad de Morón,gkowalik6x@feedburner.com,M.D.
Hertha,Hammerberger,0951779311,Tver State University,jmalbon6y@parallels.com,M.D.
Carce,Martindale,0242094686,Ivanovo State Power University,ljarrelt6z@g.co,M.D.
Carlotta,Blazy,8349541881,Mamasani University of Technology,rbeiderbeck70@cam.ac.uk,M.D.
Nita,Dewerson,5511554030,Fu Jen Catholic University,nokeefe71@state.tx.us,M.D.
Melinda,Bernakiewicz,2649292431,Institute of Management Development - Ohrid,fmcewen72@spotify.com,M.D.
Garwin,Bilsford,6490334372,Midwestern State University,llabbez73@desdev.cn,M.D.
Matthieu,Rizzolo,3236424613,Suzuka University of Medical Science,rcoggings74@yelp.com,M.D.
Thelma,Overlow,4770132026,Universidad Santo Tomás,gmcilrath75@ox.ac.uk,M.D.
Kip,Hoyes,8512341653,Dneprodzerzhinsk State Technical University,tmardling76@google.com,M.D.
Gwenore,Sheen,1837881685,Technological University (Hinthada),jcoppen77@geocities.com,M.D.
Dewain,Kwietak,3703590262,State University of New York at Binghamton,mbestwick78@hc360.com,M.D.
Harriot,Kynston,0047361956,Bharathiar University,ahoggin79@simplemachines.org,M.D.
Meggi,Lanston,5175122185,Lillehammer University College,mgreenset7a@smh.com.au,M.D.
Babs,Downes,2743207280,University of Ioannina,ahabbershon7b@bravesites.com,M.D.
Malanie,McKissack,3621457119,University of Colorado Health Sciences Center,sreen7c@rakuten.co.jp,M.D.
Leela,Podbury,9791528772,"Music Academy ""Stanislaw Moniuszko"" in Gdansk",cskellington7d@lycos.com,M.D.
Garold,Gimbrett,7428180848,Université Lumière de Bujumbura,mfontelles7e@ustream.tv,M.D.
Julieta,Leere,6736083516,Université de Ngaoundéré,bberanek7f@fda.gov,M.D.
Marcellus,McGarrity,5499158770,Texas A&M University - Kingsville,tfarmloe7g@google.pl,M.D.
Natale,Somerscales,5337850318,University of Nijenrode,ehindenberger7h@google.nl,M.D.
Cello,Snalom,5696756093,Southern College of Optometry,akingcott7i@eventbrite.com,M.D.
Ursala,Lyokhin,0597646872,Universidad Nacional,aratcliffe7j@vk.com,M.D.
Opal,Scandrite,5303068692,Mamoun Private University for Science and Technology,srupke7k@bigcartel.com,M.D.
Findlay,Silly,1008867322,Universidade Lusiada,oratley7l@ucoz.com,M.D.
Grady,Bagster,5563497097,University of Glasgow,schilde7m@ted.com,M.D.
Nolan,Marl,7397446779,Rensselaer Polytechnic Institute,jbrunel7n@reference.com,M.D.
Jone,Siddon,4892584835,University of Lausanne,neyres7o@thetimes.co.uk,M.D.
Kylen,Guerra,3976588849,Universidade de Aveiro,cblazhevich7p@xinhuanet.com,M.D.
Jaime,Mohammed,2905796464,Avondale College,pkoles7q@cnbc.com,M.D.
Georgina,Clemendet,7663664833,Universidad Central del Ecuador,njorczyk7r@nature.com,M.D.
Meta,Djurisic,5238608985,Hampton University,mstabbins7s@goo.gl,M.D.
Cherianne,Bransdon,1617175102,Université d'Artois,rgerrell7t@wikimedia.org,M.D.
Elliott,Dmitr,4703209128,Universidad Tecnológica San Antonio de Machala,yericssen7u@scientificamerican.com,M.D.
Cece,Pursey,8599195352,Science University of Tokyo in Yamaguchi,cchumley7v@timesonline.co.uk,M.D.
Gussy,Siss,1565913612,Cankaya University,jpopescu7w@webmd.com,M.D.
Simone,Bricksey,0921283857,Universidad de Cuautitlan Izcalli,awooffitt7x@economist.com,M.D.
Arch,Giraux,2535784998,Kaluga State Pedagogical University,djarry7y@reference.com,M.D.
Jourdain,Swadlen,5505496563,"Institue of Historical Research, University of London",bkennaird7z@homestead.com,M.D.
Morgana,Luckes,1173496718,Samara State Academy for Railway Transportation,tjenkerson80@topsy.com,M.D.
Brade,MacMeekan,7008052871,Jatiya Kabi Kazi Nazrul Islam University,scathery81@microsoft.com,M.D.
Mildrid,Tapp,1670762823,East Somalia University,ntremaine82@about.me,M.D.
Marie,Lunam,2094095304,University of Greenwich,cbassindale83@lulu.com,M.D.
Hugh,Kingsman,3916157817,Beijing Sport University,tthomen84@multiply.com,M.D.
Alejoa,Winkell,7299686015,St. Augustine International University,jleonards85@opensource.org,M.D.
Gavin,Fores,4295459798,Kalmyk State University,rbryan86@fc2.com,M.D.
Arlie,Kezar,5336862274,Azerbaijan International University,frickhuss87@go.com,M.D.
Laetitia,Fulham,9503188946,Osaka International University for Women,nbremley88@flavors.me,M.D.
Julian,Woolaston,4138512330,Universität Erfurt,cmoye89@msu.edu,M.D.
Tobie,Barnwille,4862985874,Fordham University,acafe8a@myspace.com,M.D.
Devin,Bloss,1412701643,Andon College - Modesto,adeclerk8b@nba.com,M.D.
Averil,Bateman,8773304212,Lanzhou University,lwylie8c@about.me,M.D.
Noak,Siddle,2162685434,Universidad Nacional de Santiago del Estero,csale8d@51.la,M.D.
