Conference_name,Speaker,Attendee_list,conference_date,conference_llocation
"Physical Education Academy ""Jozef Pilsudski"" in Warsaw","[{""first_name"":""Yolande"",""last_name"":""Howorth"",""NPI"":""5673774869""}]","[{""first_name"":""Willa"",""last_name"":""Beart"",""NPI"":""1239424973""},{""first_name"":""Gradeigh"",""last_name"":""Wickins"",""NPI"":""4131576406""},{""first_name"":""Tammie"",""last_name"":""Empson"",""NPI"":""8800207952""},{""first_name"":""Gayla"",""last_name"":""Coggles"",""NPI"":""6390484968""}]",8/26/2019,Reims
La Roche College,"[{""first_name"":""Carly"",""last_name"":""Toll"",""NPI"":2099272956}]","[{""first_name"":""Ava"",""last_name"":""Corns"",""NPI"":""8008421177""},{""first_name"":""Claudianus"",""last_name"":""Egle"",""NPI"":""5188682893""},{""first_name"":""Cal"",""last_name"":""Adicot"",""NPI"":""4607312894""},{""first_name"":""Patrica"",""last_name"":""Leyrroyd"",""NPI"":""5583334363""}]",3/25/2019,Avignon
Università Pontifcia Salesiana,"[{""first_name"":""Anestassia"",""last_name"":""Faivre"",""NPI"":""6241457489""}]","[{""first_name"":""Garwin"",""last_name"":""Bilsford"",""NPI"":""6490334372""},{""first_name"":""Aubrey"",""last_name"":""Clevely"",""NPI"":""3531061798""},{""first_name"":""Dane"",""last_name"":""Birdis"",""NPI"":""0849244617""},{""first_name"":""Marji"",""last_name"":""Coram"",""NPI"":""0543863719""},{""first_name"":""Bobby"",""last_name"":""Turmall"",""NPI"":""9530992297""}]",6/22/2019,Huaiyuan Chengguanzhen
Lancaster University Ghana,"[{""first_name"":""Saleem"",""last_name"":""Androlli"",""NPI"":""0525803807""}]","[{""first_name"":""Buiron"",""last_name"":""Broadway"",""NPI"":""4418777318""},{""first_name"":""Leandra"",""last_name"":""Rubes"",""NPI"":""5900482332""},{""first_name"":""Ab"",""last_name"":""Dunham"",""NPI"":""2792742674""},{""first_name"":""Gale"",""last_name"":""Hulance"",""NPI"":""9017679476""}]",9/25/2019,Tegalgede
Briar Cliff College,"[{""first_name"":""Mort"",""last_name"":""Stannett"",""NPI"":""6098052913""}]","[{""first_name"":""Gherardo"",""last_name"":""Perigeaux"",""NPI"":7210385843},{""first_name"":""Bobbie"",""last_name"":""Resdale"",""NPI"":""2495975089""},{""first_name"":""Diane"",""last_name"":""Maginn"",""NPI"":""9878050912""},{""first_name"":""Karisa"",""last_name"":""Yuryshev"",""NPI"":""2871961360""},{""first_name"":""Shepherd"",""last_name"":""Le Grice"",""NPI"":""7578435884""}]",5/26/2019,Wright
University of Insurance and Banking in Warsaw,"[{""first_name"":""Shermie"",""last_name"":""Bertlin"",""NPI"":""9749305817""}]","[{""first_name"":""Amerigo"",""last_name"":""Vreede"",""NPI"":""6193009574""},{""first_name"":""Rodd"",""last_name"":""Stopford"",""NPI"":""5041570507""},{""first_name"":""Armin"",""last_name"":""Gronno"",""NPI"":""4851637896""},{""first_name"":""Candis"",""last_name"":""Scahill"",""NPI"":""5683334640""}]",11/21/2018,Fahraj
Escuela Colombiana de Carreras Industriales,"[{""first_name"":""Clive"",""last_name"":""Broschke"",""NPI"":""0258695528""}]","[{""first_name"":""Brett"",""last_name"":""Vaugham"",""NPI"":""8904255325""},{""first_name"":""Lianne"",""last_name"":""McDougal"",""NPI"":""5813207724""},{""first_name"":""Rubie"",""last_name"":""Jopke"",""NPI"":""8609043460""},{""first_name"":""Daune"",""last_name"":""Strong"",""NPI"":""7803902359""},{""first_name"":""Melinda"",""last_name"":""Bernakiewicz"",""NPI"":""2649292431""}]",3/12/2019,El Limon
Tabriz University,"[{""first_name"":""Lilla"",""last_name"":""Harridge"",""NPI"":""1590093755""}]","[{""first_name"":""Mark"",""last_name"":""Barus"",""NPI"":""6678092945""},{""first_name"":""Ardeen"",""last_name"":""Kingsley"",""NPI"":""6677892670""},{""first_name"":""Debbi"",""last_name"":""Lushey"",""NPI"":""8896992702""}]",6/24/2019,Zhenlong
"National University of Ireland, Galway","[{""first_name"":""Arlee"",""last_name"":""Dugget"",""NPI"":""0881811386""}]","[{""first_name"":""Padgett"",""last_name"":""Carlon"",""NPI"":""2290403172""},{""first_name"":""Cleveland"",""last_name"":""Novichenko"",""NPI"":""8524732202""},{""first_name"":""Stella"",""last_name"":""Bartholin"",""NPI"":""5578502083""},{""first_name"":""Fernanda"",""last_name"":""Godding"",""NPI"":""0172096243""}]",11/13/2018,Arauquita
Dagestan State University,"[{""first_name"":""Graham"",""last_name"":""Bygrove"",""NPI"":""8410022966""}]","[{""first_name"":""Doretta"",""last_name"":""Twiddle"",""NPI"":""1758761954""},{""first_name"":""Harcourt"",""last_name"":""Taffley"",""NPI"":""6063662731""},{""first_name"":""Kalvin"",""last_name"":""Gantlett"",""NPI"":""5145803443""}]",11/6/2018,Kembang
Brickfields Asia College,"[{""first_name"":""Kissiah"",""last_name"":""Scholl"",""NPI"":""8290378645""}]","[{""first_name"":""Fredrick"",""last_name"":""Hubbucke"",""NPI"":""3054037185""},{""first_name"":""Deck"",""last_name"":""Jiggen"",""NPI"":8548026855},{""first_name"":""Alard"",""last_name"":""Ripsher"",""NPI"":""7168740733""}]",9/6/2019,Rabat
Punjabi University Patiala,"[{""first_name"":""Haroun"",""last_name"":""Fligg"",""NPI"":""5909220837""}]","[{""first_name"":""Hall"",""last_name"":""Bailes"",""NPI"":""6135132636""},{""first_name"":""Marnia"",""last_name"":""Pepin"",""NPI"":""3914371749""},{""first_name"":""Arlyne"",""last_name"":""Domke"",""NPI"":""0014579480""},{""first_name"":""Erinn"",""last_name"":""Drury"",""NPI"":""4092247338""}]",5/17/2019,Sendangrejo
Devi Ahilya University of Indore,"[{""first_name"":""Seth"",""last_name"":""Phippin"",""NPI"":""7888350801""}]","[{""first_name"":""Avivah"",""last_name"":""Gligoraci"",""NPI"":""6297715769""},{""first_name"":""Hedy"",""last_name"":""Jeffcock"",""NPI"":""2815783886""},{""first_name"":""Leif"",""last_name"":""Tilzey"",""NPI"":""9187876582""}]",6/4/2019,Podstepki
Universitas 17 Agustus 1945 Jakarta,"[{""first_name"":""Darcey"",""last_name"":""Bugg"",""NPI"":""3809560022""}]","[{""first_name"":""Babette"",""last_name"":""Olive"",""NPI"":""1449269125""},{""first_name"":""Susette"",""last_name"":""Wisdom"",""NPI"":""1938216857""},{""first_name"":""Zane"",""last_name"":""Kensett"",""NPI"":""5824909253""},{""first_name"":""Fredra"",""last_name"":""Livezey"",""NPI"":""0359405274""},{""first_name"":""Redford"",""last_name"":""Mallabon"",""NPI"":""6383124242""}]",8/18/2019,Escola
Universidade de Santo Amaro,"[{""first_name"":""Mort"",""last_name"":""McArthur"",""NPI"":""8733743665""}]","[{""first_name"":""Evita"",""last_name"":""Gritsunov"",""NPI"":""4037920190""},{""first_name"":""Leela"",""last_name"":""Podbury"",""NPI"":""9791528772""},{""first_name"":""Torrie"",""last_name"":""Eppson"",""NPI"":""9528731074""},{""first_name"":""Raynell"",""last_name"":""Morin"",""NPI"":""9106007465""}]",3/3/2019,Tutup
Fachhochschule Gelsenkirchen,"[{""first_name"":""Asher"",""last_name"":""Danbi"",""NPI"":""4344885791""}]","[{""first_name"":""Ingmar"",""last_name"":""Mulmuray"",""NPI"":""5785628651""},{""first_name"":""Rosemaria"",""last_name"":""Logesdale"",""NPI"":""5772835807""},{""first_name"":""Fergus"",""last_name"":""Orrick"",""NPI"":""8817542679""}]",7/14/2019,Askim
Truman College,"[{""first_name"":""Kris"",""last_name"":""Kestle"",""NPI"":""0244857490""}]","[{""first_name"":""Myrtice"",""last_name"":""Clues"",""NPI"":""0482292237""},{""first_name"":""Kalvin"",""last_name"":""Gantlett"",""NPI"":""5145803443""},{""first_name"":""Charla"",""last_name"":""Deniseau"",""NPI"":""8741084446""},{""first_name"":""Lilla"",""last_name"":""Harridge"",""NPI"":""1590093755""}]",4/30/2019,Liudong
Universidade Estadual de Santa Cruz,"[{""first_name"":""Arri"",""last_name"":""Cerith"",""NPI"":""3490696336""}]","[{""first_name"":""Tobie"",""last_name"":""Barnwille"",""NPI"":""4862985874""},{""first_name"":""Meredith"",""last_name"":""McElwee"",""NPI"":""5538486591""},{""first_name"":""Panchito"",""last_name"":""Hundell"",""NPI"":""3152559577""},{""first_name"":""Deidre"",""last_name"":""Ruhben"",""NPI"":""7220040350""}]",11/9/2018,Jarabacoa
Western University,"[{""first_name"":""Maddy"",""last_name"":""Shearmur"",""NPI"":""5268831550""}]","[{""first_name"":""Marcellus"",""last_name"":""Maddock"",""NPI"":""5726079175""},{""first_name"":""Morgun"",""last_name"":""Westmacott"",""NPI"":""8471573857""},{""first_name"":""Hyacinthe"",""last_name"":""Vickery"",""NPI"":""0589084259""},{""first_name"":""Harcourt"",""last_name"":""Taffley"",""NPI"":""6063662731""}]",10/4/2019,Starokucherganovka
Chuo University,"[{""first_name"":""Shelbi"",""last_name"":""Conahy"",""NPI"":""5505604110""}]","[{""first_name"":""Adara"",""last_name"":""Brockton"",""NPI"":""5703531667""},{""first_name"":""Marla"",""last_name"":""Trueman"",""NPI"":""4610275910""},{""first_name"":""Abra"",""last_name"":""Prozescky"",""NPI"":""1749286068""}]",11/19/2018,Khokhryaki
Beth-El College of Nursing and Health Sciences,"[{""first_name"":""Jamesy"",""last_name"":""White"",""NPI"":""3952117293""}]","[{""first_name"":""Ricoriki"",""last_name"":""Ricardo"",""NPI"":""6359885034""},{""first_name"":""Candy"",""last_name"":""Juett"",""NPI"":""6793046136""},{""first_name"":""Lianne"",""last_name"":""McDougal"",""NPI"":""5813207724""},{""first_name"":""Grady"",""last_name"":""Bagster"",""NPI"":""5563497097""}]",8/18/2019,El Limon
William Gilbert College,"[{""first_name"":""Olivia"",""last_name"":""Pol"",""NPI"":""1023348470""}]","[{""first_name"":""Bartolomeo"",""last_name"":""Bockett"",""NPI"":""5709621072""},{""first_name"":""Domingo"",""last_name"":""Keaveny"",""NPI"":""1597850187""},{""first_name"":""Tobiah"",""last_name"":""Slora"",""NPI"":""1224777417""}]",3/8/2019,Ocoyo
Yildirim Beyazit University,"[{""first_name"":""Karena"",""last_name"":""MacGorrie"",""NPI"":""3655585071""}]","[{""first_name"":""Marlie"",""last_name"":""Charlo"",""NPI"":""3343410578""},{""first_name"":""Gusty"",""last_name"":""Tippin"",""NPI"":""2061416837""},{""first_name"":""Sarita"",""last_name"":""Farnill"",""NPI"":""3904531980""},{""first_name"":""Olivia"",""last_name"":""Pol"",""NPI"":""1023348470""},{""first_name"":""Fredrick"",""last_name"":""Hubbucke"",""NPI"":""3054037185""}]",9/7/2019,Petersfield
Kemerovo State University,"[{""first_name"":""Berte"",""last_name"":""Kealy"",""NPI"":""9468124053""}]","[{""first_name"":""Roxanna"",""last_name"":""Braniff"",""NPI"":""2653744104""},{""first_name"":""Hamel"",""last_name"":""Blesli"",""NPI"":""1219236861""},{""first_name"":""Lloyd"",""last_name"":""Prendeville"",""NPI"":""1721474927""},{""first_name"":""Arlie"",""last_name"":""Kezar"",""NPI"":""5336862274""}]",6/7/2019,Pringsewu
Mid-Continent Baptist Bible College,"[{""first_name"":""Marti"",""last_name"":""Rogeron"",""NPI"":""1270474286""}]","[{""first_name"":""Josey"",""last_name"":""Bursell"",""NPI"":""1837300968""},{""first_name"":""Justen"",""last_name"":""Crossdale"",""NPI"":""1335498311""},{""first_name"":""Ermina"",""last_name"":""Roelvink"",""NPI"":""0890343969""},{""first_name"":""Dodi"",""last_name"":""Greim"",""NPI"":""2624383247""},{""first_name"":""Bendick"",""last_name"":""Collymore"",""NPI"":""2835110631""}]",12/11/2018,Bouças
Charleston Southern University,"[{""first_name"":""Arin"",""last_name"":""Longthorn"",""NPI"":""2911636015""}]","[{""first_name"":""Nora"",""last_name"":""Sweedy"",""NPI"":""9882809901""},{""first_name"":""Noak"",""last_name"":""Siddle"",""NPI"":""2162685434""},{""first_name"":""Christie"",""last_name"":""McCluskey"",""NPI"":""8728427270""}]",6/20/2019,Nanlü
Ohio Northern University,"[{""first_name"":""Margarethe"",""last_name"":""Arntzen"",""NPI"":""2999378874""}]","[{""first_name"":""Spenser"",""last_name"":""Jenkerson"",""NPI"":""1924542218""},{""first_name"":""Alard"",""last_name"":""Ripsher"",""NPI"":""7168740733""},{""first_name"":""Sally"",""last_name"":""Lewinton"",""NPI"":""4032957991""},{""first_name"":""Henrietta"",""last_name"":""Andrieu"",""NPI"":""1183220774""}]",6/26/2019,Mesker-Yurt
"Universidad Pedagógica ""José Martí"", Camagüey","[{""first_name"":""Desiree"",""last_name"":""Quinsee"",""NPI"":""8665587128""}]","[{""first_name"":""Yardley"",""last_name"":""Ownsworth"",""NPI"":""5458603362""},{""first_name"":""Fredrick"",""last_name"":""Hubbucke"",""NPI"":""3054037185""},{""first_name"":""Sheffie"",""last_name"":""Marr"",""NPI"":""9655010953""},{""first_name"":""Cayla"",""last_name"":""Bayly"",""NPI"":""1542961793""},{""first_name"":""Hedy"",""last_name"":""Jeffcock"",""NPI"":""2815783886""}]",8/29/2019,Sete Lagoas
Ohio Northern University,"[{""first_name"":""Merv"",""last_name"":""Brymham"",""NPI"":""0238657965""}]","[{""first_name"":""Merry"",""last_name"":""Magne"",""NPI"":""1663050155""},{""first_name"":""Valentin"",""last_name"":""Coplestone"",""NPI"":""6314554896""},{""first_name"":""Heindrick"",""last_name"":""Lukianovich"",""NPI"":""6679946328""}]",1/28/2019,Changshu City
Bates College,"[{""first_name"":""Maribelle"",""last_name"":""Clyne"",""NPI"":""4765454681""}]","[{""first_name"":""Morrie"",""last_name"":""Grubbe"",""NPI"":""0204303192""},{""first_name"":""Smitty"",""last_name"":""O'Hartnedy"",""NPI"":""0120954435""},{""first_name"":""Andrey"",""last_name"":""Nettles"",""NPI"":""6411633177""},{""first_name"":""Eirena"",""last_name"":""Caramuscia"",""NPI"":""8258849352""}]",6/23/2019,Alīābad
Instituto Tecnológico de Costa Rica,"[{""first_name"":""Tani"",""last_name"":""Glitherow"",""NPI"":""8269024465""}]","[{""first_name"":""Jobie"",""last_name"":""Frisby"",""NPI"":""7501549400""},{""first_name"":""Nealon"",""last_name"":""Eustis"",""NPI"":""3682510400""},{""first_name"":""Hirsch"",""last_name"":""Collihole"",""NPI"":""8132014618""},{""first_name"":""Armin"",""last_name"":""Gronno"",""NPI"":""4851637896""}]",6/20/2019,Zhaxi
Oglethorpe University,"[{""first_name"":""Angie"",""last_name"":""McNamara"",""NPI"":""9268921456""}]","[{""first_name"":""Carce"",""last_name"":""Martindale"",""NPI"":""0242094686""},{""first_name"":""Haroun"",""last_name"":""Fligg"",""NPI"":""5909220837""},{""first_name"":""Angelle"",""last_name"":""Denacamp"",""NPI"":""0320994589""},{""first_name"":""Lela"",""last_name"":""Pally"",""NPI"":""8640861250""},{""first_name"":""Abelard"",""last_name"":""Rodie"",""NPI"":""2453494945""}]",6/23/2019,Velingrad
Iwate Prefectural University,"[{""first_name"":""Clive"",""last_name"":""Broschke"",""NPI"":""0258695528""}]","[{""first_name"":""Morganne"",""last_name"":""Dallison"",""NPI"":""7273621706""},{""first_name"":""Ave"",""last_name"":""Anmore"",""NPI"":""1755355297""},{""first_name"":""Bay"",""last_name"":""Seally"",""NPI"":""0825755212""},{""first_name"":""Amerigo"",""last_name"":""Vreede"",""NPI"":""6193009574""}]",6/2/2019,Shelopugino
Kota Kinabalu Polytechnic,"[{""first_name"":""Nataniel"",""last_name"":""Crady"",""NPI"":""4026044416""}]","[{""first_name"":""Ozzy"",""last_name"":""Ralfe"",""NPI"":""4020282412""},{""first_name"":""Tabby"",""last_name"":""Riceards"",""NPI"":""4273602318""},{""first_name"":""Denyse"",""last_name"":""Cozzi"",""NPI"":""9238363994""}]",12/25/2018,Virginia Beach
Université Rennes I,"[{""first_name"":""Nate"",""last_name"":""Laidlow"",""NPI"":""0822837102""}]","[{""first_name"":""Bettye"",""last_name"":""Farenden"",""NPI"":""0053015207""},{""first_name"":""Erinn"",""last_name"":""Drury"",""NPI"":""4092247338""},{""first_name"":""Nancey"",""last_name"":""Cadamy"",""NPI"":""3570762793""},{""first_name"":""Quinn"",""last_name"":""Challiner"",""NPI"":""5529429394""}]",8/15/2019,Esperanza
Rocky Mountain College of Art and Design,"[{""first_name"":""Jasun"",""last_name"":""Chalke"",""NPI"":""8333417124""}]","[{""first_name"":""Obed"",""last_name"":""Dene"",""NPI"":""8033848154""},{""first_name"":""Bartlett"",""last_name"":""MacAree"",""NPI"":""4194367707""},{""first_name"":""Morganne"",""last_name"":""Dallison"",""NPI"":""7273621706""}]",11/30/2018,Osveya
Franciscan School of Theology,"[{""first_name"":""Josey"",""last_name"":""Bursell"",""NPI"":""1837300968""}]","[{""first_name"":""Gale"",""last_name"":""Hulance"",""NPI"":""9017679476""},{""first_name"":""Redford"",""last_name"":""Mallabon"",""NPI"":""6383124242""},{""first_name"":""Fanechka"",""last_name"":""MacAscaidh"",""NPI"":""1784464848""},{""first_name"":""Phillis"",""last_name"":""Delatour"",""NPI"":""3820636048""}]",12/10/2018,Bayramaly
Liaoning Normal University,"[{""first_name"":""Bradly"",""last_name"":""Minchin"",""NPI"":""7647294385""}]","[{""first_name"":""Viole"",""last_name"":""Lundberg"",""NPI"":""0291190146""},{""first_name"":""Gipsy"",""last_name"":""Jeannon"",""NPI"":""3363262787""},{""first_name"":""Pinchas"",""last_name"":""Feronet"",""NPI"":""4229336837""}]",9/26/2019,Bulo
Xinjiang University of Finance and Economics,"[{""first_name"":""Clive"",""last_name"":""Broschke"",""NPI"":""0258695528""}]","[{""first_name"":""Jourdan"",""last_name"":""Danslow"",""NPI"":""7877397348""},{""first_name"":""Morrie"",""last_name"":""Grubbe"",""NPI"":""0204303192""},{""first_name"":""Jeromy"",""last_name"":""Elwin"",""NPI"":""2026578567""},{""first_name"":""Chuck"",""last_name"":""Tingle"",""NPI"":""7344445298""},{""first_name"":""Fanechka"",""last_name"":""MacAscaidh"",""NPI"":""1784464848""}]",2/28/2019,Francisco Villa
